ID,Event Name,Event location,Event Date,Submission deadline,Notification deadline,Conference,Journal
0,The International Conference on Computing,"Dubai, UAE","April 9, 2014","March 20, 2014","March 25, 2014",1,0
1,"The First International Conference on Green Computing, Technology and Innovation",Malaysia,"March 4, 2013","Dec. 15, 2012","Jan. 1, 2013",1,0
2,2016 IEEE World Congress on Computational Intelligence,"Vancouver, Canada","July 25, 2016","January 15, 2016","March 15, 2016",0,0
3,Asia-Pacific Conference on Engineering and Applied Science,"Phuket, Thailand","Dec 26, 2019",N/A,N/A,1,0
4,Global Engineering & Applied Science Conference,Tokyo,N/A,N/A,N/A,1,0
5,2019 IEEE International Symposium on Technology and Society,Boston,"Nov 15, 2019","August 16, 2019","September 16, 2019",0,0
6,Asia Conference on Engineering and Information International Symposium on Fundamental and Applied Sciences,"Taipei, Taiwan","Jun 1, 2020","February 5, 2020",N/A,1,0
7,2020 AI Conference,"Taipei, Taiwan","Jun 1, 2020","February 5, 2020","February 19, 2020",1,0
8,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece","May 18, 2020","October 14, 2019",N/A,1,0
9,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece","May 18, 2020","October 14, 2019",N/A,1,0
10,10th International Congress on Engineering and Information,"Fukuoka, Japan","May 6, 2020","January 15, 2020",N/A,0,0
11,2020 Green Tech Conference/Region 5 Business Meeting and Student Competitions,N/A,"April 1, 2020",N/A,N/A,1,0
12,9th International Congress on Natural Science and Engineering,"Nagoya, Japan","January 20, 2020","October 23, 2019","October 15, 2019",0,0
13,7th Annual Conference on Engineering and Information Technology,"Osaka, Japan","March 24, 2020","December 15, 2019","December 24, 2019",1,0
14,Fifth International Congress on Information and Communication Technology,"London, United Kingdom","February 20, 2020","January 10, 2020",N/A,0,0
15,2014 International Conference on Advanced Management Science and Information Engineering,Hong Kong,"December 25, 2014","October 22, 2014",N/A,1,0
16,AAAI-15 AI Open House,"Austin, Texas","January 26, 2015","November 9, 2014","November 10, 2014",0,0
17,ACM Computing Surveys,N/A,N/A,N/A,N/A,0,0
18,ACM Transactions on Parallel Computing,N/A,N/A,N/A,N/A,0,0
19,ACM Transactions on Quantum Computing,N/A,N/A,N/A,N/A,0,0
20,ACM Transactions on Social Computing,<none>,,,,0,0
21,5th International Conference on Education Science and Development (ICESD 2020),"Bangkok, Thailand","January 6, 2020","August 28, 2019",,1,0
22,2020 Communication Technologies and Cloud Computing Conference (CTCCC 2020),UK,"March 19, 2020",,,1,0
23,The Annual Conference on Engineering and Natural Sciences (ACENS),"Bangkok, Thailand","February 5, 2020",,,1,0
24,Global Journal of Engineering Science and Research Management (GJESRM,<none>,,"July 5, 2019",,0,1
25,2015 International Conference on Intelligent Computing and Internet of Things (ICICIT 2015),Harbin,"January 17, 2015","December 10, 2014","December 20, 2014",1,0
26,19th IEEE International Symposium on Signal Processing and Information Technology (ISSPIT 2019).,Ajman,"December 10, 2019","September 30, 2019","October 30, 2019",0,0
27,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
28,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
29,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
30,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing (CSCE'19: USA)","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",0,0
31,The International Conference on E-Learning and E-Technologies in Education (ICEEE),"Lodz, Poland","September 24, 2012","August 10, 2012","August 25, 2012",1,0
32,The International Conference on Informatics & Applications (ICIA2012),"Kuala Terengganu, Malaysia","July 3, 2012","April 5, 2012","May 2, 2012",1,0
33,The World Congress on E-Commerce and Business on the Web (WCEBW2012),UK,"August 27, 2012",,,0,0
34,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",1,0
35,The World Congress on E-commerce and Business on the Web (WCEBW2012),"London, United Kingdom","August 27, 2012","July 10, 2012","August 10, 2012",0,0
36,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",1,0
37,The 10th IEEE Annual Computing and Communication Workshop and Conference (IEEE CCWC 2020),"Las Vegas, USA","January 6, 2020","October 31, 2020","November 30, 2020",1,0
38,"The IEEE 10th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (IEEE UEMCON 2019)","New York, USA","October 10, 2019","August 7, 2019","September 5, 2019",1,0
39,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Delhi/NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
40,7th International Conference on Signal Processing and Integrated Networks,"Delhi/NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
41,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
42,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India","February 27, 2020","December 16, 2019","December 26, 2019",1,0
43,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP 2014),"Bangkok, Thailand","May 6, 2014","April 6, 2014","April 15, 2014",1,0
44,The Fourth International Conference on e-Learning (ICEL 2013),Czech Republic,"July 8, 2013","May 10, 2013",,1,0
45,The Fourth International Conference on e-Learning (ICEL 2013),Czech Republic,"July 8, 2013","May 30, 2013",,1,0
46,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","Dec. 15, 2012","January 1, 2013",1,0
47,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","Dec. 15, 2012","January 1, 2013",1,0
48,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),Czech Republic,"July 8, 2013","May 10, 2013",,1,0
49,The International Conference on E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013",1,0
50,E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013",0,0
51,The International Conference on Computing Technology and Information Management (ICCTIM2014),"Dubai, UAE","April 10, 2014","March 10, 2014","March 20, 2014",1,0
52,International Journal of Education (IJE),,,"December 21, 2019","December 27, 2019",0,1
53,Fourth International Conference on Information and Communication Technology for Competitive Strategies (ICTCS-2019),"Udaipur, Rajasthan, India","December 13, 2019","September 30, 2019",,1,0
54,Fourth International Conference on Information and Communication Technology for Competitive Strategies (ICTCS-2019),"Udaipur, Rajasthan, India","December 13, 2019","September 30, 2019",,1,0
55,"The International Conference on Computing, Networking and Digital Technologies(ICCNDT 2012)",Bahrain,"November 11, 2012","Sep. 25, 2012","October 10, 2012",1,0
56,Symposium on Innovation-Entrepreneurship and their relationships with Cybernetics and Informatics,"Orlando, Florida, USA","March 10, 2015","October 28, 2014",,0,0
57,The 2019 International Conference on Computational Science and Computational Intelligence (CSCI),"Las Vegas, USA","December 5, 2019","October 6, 2019","October 18, 2019",1,0
58,"The International Conference on Cyber Security, Cyber Warfare and Digital Forensic (CyberSec2012)","Kuala Lumpur, Malaysia","June 26, 2012","April 30, 2012","May 15, 2012",1,0
59,The Second International Conference on E-Technologies and Business on the Web (EBW2014),"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 4, 2014",1,0
60,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013","May 10, 2013",,1,0
61,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013","May 10, 2013","June 7, 2013",1,0
62,3rd ICEEE2014,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 4, 2014",0,0
63,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP2014),"Bangkok, Thailand","May 6, 2014","April 6, 2014","April 15, 2014",1,0
64,BIOCOMP'19,"Las Vegas, USA","July 19, 2019","June 20, 2019","June 27, 2019",0,0
65,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
66,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013",,,1,0
67,The Second International Conference on Informatics & Applications (ICIA2013),"Lodz, Poland","September 23, 2013",,,1,0
68,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013",,,1,0
69,"The International Conference on Digital Information Networking, and Wireless Communications (DINWC2014)","Ostrava, Czech Republic","June 24, 2014",,,1,0
70,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC 2013)","Dubai, UAE","October 23, 2013","September 1, 2013","September 15, 2013",1,0
71,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC2013)","Dubai, UAE","October 23, 2013","October 15, 2013","October 18, 2013",1,0
72,International Conference on Digital Security and Forensics (DigitalSec2014),"Ostrava, Czech Republic","June 24, 2014","May 25, 2014","June 5, 2014",1,0
73,The Second International Conference on E-Learning and E-Technologies in Education (ICEEE2013),"Lodz, Poland","September 23, 2013",,,1,0
74,The Second International Conference on e-Technologies and Networks for Development (ICeND 2013),Malaysia,"March 4, 2013","December 15, 2012","January 1, 2013",1,0
75,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013),"Kuala Lumpur, Malaysia","November 12, 2013","October 12, 2013","October 30, 2013",1,0
76,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013),"Kuala Lumpur, Malaysia","November 12, 2013","October 12, 2013","October 30, 2013",1,0
77,The Second International Conference on Digital Information and Communication Technology and its Applications,"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",1,0
78,CSCI-ISAI: International Symposium on ARTIFICIAL INTELLIGENCE,"Las Vegas, USA","December 5, 2019","October 21, 2019","October 28, 2019",0,0
79,CSCI-ISAI: Int'l Symp. on Symposium on ARTIFICIAL INTELLIGENCE,"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",0,0
100,"The 2015 International Conference on Foundations
of Computer Science","Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
101,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
102,The 2015 International Conference on Grid & Cloud Computing and Applications,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
103,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
104,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
105,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
106,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
107,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
108,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
109,The 2015 International Conference on Information and Knowledge Engineering,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
110,The 2015 International Conference on Internet Computing and Big Data,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
111,"The 2015 International Conference on Modeling, Simulation and Visualization Methods","Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
112,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
113,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
114,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
115,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas","July 27, 2015","April 15, 2015","April 30, 2015",1,0
116,The 2015 International Conference on Scientific Computing,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
117,The 2015 International Conference on Security and Management,Las Vegas,"July 27, 2015","March 31, 2015","April 24, 2015",1,0
118,The 2015 International Conference on Software Engineering Research and Practice,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","April 24, 2015",1,0
119,The 2015 International Conference on Wireless Networks,"Monte Carlo Resort, Las Vegas","July 27, 2015","March 31, 2015","June 14, 2015",1,0
120,Int'l Conf on Wireless Networks,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
121,Int'l Conf on Wireless Network,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
122,Int'l Conf on e-Learning,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
123,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",1,0
124,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",1,0
125,Int'l Conf. on Health Informatics and Medical Systems,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
126,"Int'l Conf. on Image Processing, Computer Vision, & Pattern Recognition","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
127,"Int'l Conf. on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
128,Int'l Conf. on Parallel and Distributed Processing Techniques & Applications,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
129,Joint International Conference,"Bangkok, Thailand","May 3, 2014","March 28, 2014","April 5, 2014",1,0
130,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
131,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
132,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
133,International Conference on Health Informatics & Medical Systems,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
134,The Second International Conference on Informatics & Applications,Poland,"September 23, 2013",,,1,0
135,The Second International Conference on Informatics & Applications,Poland,"September 23, 2013",,,1,0
136,"Security, IoT, Cloud, CPS Int'l Conferences","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",1,0
137,Special Issue on Energy-Aware Resource Management and Scheduling in SUSCOM journal,,,"March 1, 2014","June 01, 2014",0,1
138,15th International Conference on Artificial Intelligence and Soft Computing,"Zakopane, Poland","June 12, 2016",,,1,0
139,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",0,0
140,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
141,The 2015 International Conference on Software Engineering Research and Practice SERP'15,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
142,The 2015 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
143,The 2015 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
144,The 2015 International Congress on Scientific Computing,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
145,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
146,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
147,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2020",1,0
148,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2020",1,0
149,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2020",1,0
150,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2020",1,0
151,The 2015 International Conference on Software Engineering Research and Practice SERP'15,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
152,The 2015 International Conference on Artificial Intelligence ICAI'15,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
153,The 2015 Conference on Artificial Intelligence ICAI'15,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
154,The 2015 International Conference on Internet Computing and Big Data (ICOMP'15),"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
155,"The 2015 International Conference on Modeling, Simulation and Visualizsation Methods MSV'15","Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
156,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",0,0
157,Annual Conference on Engineering and Information Technology,"Osaka, Japan","March 24, 2020","December 5, 2019",N/A,1,0
158,The 2015 International Conference on Grid & Cloud Computing and Applications (GCS'15),"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
159,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
160,"The 2015 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
161,The 2015 Int'l Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
162,The 2015 Int'l Conference on Security & Management,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
163,The 2015 Int'l Conference on Software Engineering Research & Practice,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
164,The 2015 Int'l Conference on Wireless Networks,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
165,The 2015 International Conf on Advances in Big Data Analytics,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",1,0
166,"The 2015 World Congress in CS, CE, & Applied Computing","Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",0,0
167,The 2nd World Symposium on Communication Engineering,"Nagoya, Japan","December 20, 2019","July 15, 2019","August 15, 2019",0,0
168,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 04, 2014",0,0
169,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 04, 2014",0,0
170,International Journal of Engineering Research and Development,,,"October 15, 2014",,0,1
171,International Journal of Latest Engineering and Management Research,,,"September 30, 2019",,0,1
175,The Second International Conference on e-Technologies and Networks for Development,"Kuala Lumpur, Malaysia","March 4, 2013","February 3, 2013",,1,0
176,"International Conference on Social and Education Sciences (IConSES) 2019 and International Conference on Engineering, Science and Technology (IConEST) 2019","Denver, CO, USA","October 7, 2019","August 1, 2019",,1,0
177,The 2014 International Conference on Scientific Computing,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",1,0
178,The 2014 International Conference on Scientific Computing,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",1,0
179,The 2014 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",1,0
180,FECS'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
181,ICAI'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
182,ICWN'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
183,PDPTA'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
184,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
185,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
186,IPCV'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
187,SERP'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
188,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",0,0
189,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
190,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
191,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
192,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
193,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
194,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
195,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
196,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
197,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
198,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
199,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
200,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
201,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",0,0
202,,,,,,0,0
203,The International Conference on E-Technologies and Business on the Web,"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013",1,0
204,,,,,,0,0
205,FECS'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",0,0
206,IKE'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",0,0
207,WCIT2014,"Kuala Lumpur, Malaysia","March 18, 2014","Feb. 18, 2014","March 04, 2014",0,0
208,The 15th International Conference on Frontiers in Education,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",1,0
209,,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",0,0
210,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",0,0
211,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2017","March 31, 2015","April 24, 2015",0,0
212,"The International Conference on Digital Information Networking, and Wireless Communications","Ostrava, Czech Republic","June 24, 2014","May 25, 2014","June 05, 2014",1,0
213,The 2014 International Conference on Advances in Big Data Analytics,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",1,0
214,ICAI'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
215,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
216,FECS'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
217,IPCV'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
218,ICOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
219,PDPTA'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
220,SERP'14,"Las Vegas, California, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
221,ICWN'14,"Las Vegas, California, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
222,EEE'14,"Las Vegas, California, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
223,ABDA'14,"Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 14, 2014",0,0
224,DMIN'14,"Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 18, 2014",0,0
225,PDPTA'14,"Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 14, 2014",0,0
226,CSC'14,"Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 14, 2014",0,0
227,SAM'14,"Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 18, 2014",0,0
228,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 14, 2014",0,0
229,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, California, USA","July 21, 2014","June 5, 2014","June 14, 2014",0,0
230,"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology",,January 2015,"November 1, 2014","November 21, 2014",0,0
231,Emerging Trends in Information and Communication Technologies Security,,September 2013,"June 16, 2013","July 1, 2013",0,0
232,"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology",,January 2015,"November 1, 2014","November 21, 2014",0,0
233,"CSCI-ISCW: Int'l Symp. on CYBER WARFARE, CYBER DEFENSE, & CYBER SECURITY","Las Vegas, California, USA","December 5, 2019","October 6, 2019","October 18, 2019",0,0
234,ABDA'15,"Las Vegas, California, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
